id,uid,pid,suggestion_id,starttime,endtime,status
6835,1307,1377,1,2016-05-25 16:00:00,2016-05-25 17:00:00,2
6837,8223,1400,1,2016-05-26 15:00:00,2016-05-26 16:00:00,2
6840,8114,1488,1,2016-05-26 14:00:00,2016-05-26 15:00:00,2
6843,4562,1380,5,2016-05-26 14:00:00,2016-05-26 14:50:00,2
6844,3305,1362,5,2016-05-26 13:00:00,2016-05-26 13:50:00,2
6847,6046,1419,1,2016-05-27 08:30:00,2016-05-27 09:30:00,2
6851,7858,1311,1,2016-04-25 16:00:00,2016-04-25 17:00:00,2
6852,7858,1311,1,2016-05-07 16:00:00,2016-05-07 17:00:00,2
6853,7858,1311,1,2016-05-14 16:00:00,2016-05-14 17:00:00,2
6854,7858,1311,1,2016-05-21 16:00:00,2016-05-21 17:00:00,2
6856,9477,1404,1,2016-05-27 14:00:00,2016-05-27 14:00:00,2
6858,7190,1439,1,2016-05-27 09:00:00,2016-05-27 09:50:00,2
6860,8904,1293,1,2016-05-27 11:00:00,2016-05-27 11:50:00,2
6863,3268,1304,1,2016-05-27 16:00:00,2016-05-27 17:00:00,2
6864,8107,1491,1,2016-05-27 15:00:00,2016-05-27 15:50:00,2
6872,9757,1351,1,2016-05-28 08:30:00,2016-05-28 09:30:00,2
6877,8717,1345,5,2016-05-28 09:00:00,2016-05-28 09:50:00,2
6878,69729,1346,5,2016-05-28 10:00:00,2016-05-28 10:50:00,2
6879,4811,1385,1,2016-05-28 11:00:00,2016-05-28 11:50:00,2
6883,6928,1247,1,2016-05-21 14:00:00,2016-05-21 14:50:00,2
6885,5281,1468,1,2016-05-28 08:30:00,2016-05-28 09:30:00,2
6888,6928,1247,1,2016-05-28 14:00:00,2016-05-28 14:50:00,2
6904,7233,1470,1,2016-05-28 16:00:00,2016-05-28 17:00:00,2
6908,7209,1313,1,2016-05-28 14:00:00,2016-05-28 15:00:00,2
6911,8851,1498,1,2016-05-09 16:12:00,2016-05-09 17:12:00,2
6912,8851,1498,1,2016-05-23 16:14:00,2016-05-23 17:14:00,2
6913,8851,1498,1,2016-05-30 16:15:00,2016-05-30 17:15:00,2
6915,3142,1500,1,2016-05-28 10:30:00,2016-05-28 11:30:00,2
6917,8504,1370,1,2016-05-30 14:30:00,2016-05-30 15:30:00,2
6923,349,1268,5,2016-05-12 14:00:00,2016-05-12 14:50:00,2
6926,1749,1372,1,2016-05-30 15:00:00,2016-05-30 16:00:00,2
6927,5338,865,1,2016-05-12 16:00:00,2016-05-12 16:50:00,2
6929,5338,865,1,2016-05-26 16:00:00,2016-05-26 16:50:00,2
6942,6756,1464,1,2016-05-27 16:00:00,2016-05-27 17:00:00,2
6945,5689,1406,1,2016-05-27 17:00:00,2016-05-27 18:00:00,2
6950,3869,1473,1,2016-05-31 10:00:00,2016-05-31 11:00:00,2
6952,7569,1503,1,2016-05-31 11:31:00,2016-05-31 12:31:00,2
6956,10103,1177,1,2016-05-31 10:35:00,2016-05-31 11:20:00,2
6957,5342,1368,1,2016-05-31 08:30:00,2016-05-31 09:20:00,2
6958,4600,1115,1,2016-05-31 10:35:00,2016-05-31 11:20:00,2
6966,10161,1270,5,2016-05-31 14:00:00,2016-05-31 15:00:00,2
6969,1752,1430,1,2016-05-31 16:00:00,2016-05-31 17:00:00,2
6978,8857,1375,1,2016-05-25 09:30:00,2016-05-25 10:30:00,2
6979,3191,1024,1,2016-05-25 08:30:00,2016-05-25 09:30:00,2
6980,10485,750,1,2016-05-25 10:30:00,2016-05-25 11:30:00,2
6985,2807,1482,1,2016-06-01 09:23:00,2016-06-01 10:23:00,2
6991,9446,1180,1,2016-06-01 08:43:00,2016-06-01 09:20:00,2
6998,8306,1387,1,2016-05-21 15:00:00,2016-05-21 16:00:00,2
6999,2970,1428,1,2016-05-31 20:00:00,2016-05-31 21:00:00,2
7006,2591,1434,1,2016-05-31 19:00:00,2016-05-31 20:00:00,2
7007,4504,1485,1,2016-06-01 10:30:00,2016-06-01 11:30:00,2
7010,6270,1507,1,2016-05-31 18:00:00,2016-05-31 19:00:00,2
7012,7030,1432,1,2016-05-31 18:10:00,2016-05-31 18:55:00,2
7017,1307,1377,5,2016-06-01 16:00:00,2016-06-01 17:00:00,2
7020,4616,1436,1,2016-06-01 15:00:00,2016-06-01 15:55:00,2
7022,8306,1387,1,2016-05-30 13:00:00,2016-05-30 14:00:00,2
7024,3191,1024,1,2016-06-01 08:30:00,2016-06-01 09:30:00,2
7025,10485,750,1,2016-06-01 10:30:00,2016-06-01 11:30:00,2
7026,8857,1375,1,2016-06-01 09:30:00,2016-06-01 10:30:00,2
7029,7749,588,1,2016-05-31 20:00:00,2016-05-31 21:00:00,2
7030,4807,994,1,2016-05-24 19:00:00,2016-05-24 20:00:00,2
