bdipoint,epqpoint,escale,pscale,nscale,lscale,fapoint,famarriage,faattachmentrelation,fafamilyfunction,fachildhoodtrauma,facopingstyle,fapastexperience,fasocialsupport,falifemeaning,falearningmotivation,gender,politicalstatus,religion,residence,fathereducation,mothereducation,brothersistercount,familyrank,parentsmarriage,marriage,isrecommended,isrecommendedbycontest,isartstudent,fathersta,mothersta
0.08703883,0.17407766,0.08703883,0.0,0.17407766,0.0,0.17407766,0.0,0.43519414,0.0,0.0,0.0,0.52223297,0.0,0.08703883,0.08703883,0.0,0.17407766,0.08703883,0.17407766,0.26111648,0.34815531,0.17407766,0.08703883,0.08703883,0.08703883,0.17407766,0.17407766,0.17407766,0.08703883,0.08703883
0.16963779,0.16963779,0.16963779,0.08481889,0.08481889,0.0,0.16963779,0.0,0.08481889,0.0,0.25445668,0.0,0.16963779,0.0,0.33927557,0.25445668,0.08481889,0.25445668,0.08481889,0.16963779,0.59373225,0.08481889,0.0,0.08481889,0.08481889,0.08481889,0.16963779,0.16963779,0.16963779,0.08481889,0.08481889
0.0,0.15861032,0.07930516,0.0,0.07930516,0.07930516,0.15861032,0.07930516,0.39652579,0.0,0.39652579,0.15861032,0.0,0.07930516,0.15861032,0.07930516,0.07930516,0.23791548,0.07930516,0.15861032,0.47583095,0.31722063,0.0,0.07930516,0.15861032,0.07930516,0.15861032,0.15861032,0.15861032,0.07930516,0.07930516
0.0,0.13736056,0.13736056,0.06868028,0.13736056,0.0,0.13736056,0.0,0.0,0.13736056,0.0,0.27472113,0.41208169,0.0,0.06868028,0.06868028,0.06868028,0.27472113,0.06868028,0.13736056,0.48076197,0.48076197,0.0,0.06868028,0.06868028,0.06868028,0.13736056,0.13736056,0.13736056,0.06868028,0.06868028
0.0,0.08481889,0.16963779,0.0,0.0,0.16963779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08481889,0.25445668,0.08481889,0.16963779,0.59373225,0.59373225,0.0,0.08481889,0.08481889,0.08481889,0.16963779,0.16963779,0.16963779,0.08481889,0.08481889
0.09325048,0.09325048,0.09325048,0.0,0.09325048,0.09325048,0.18650096,0.09325048,0.4662524,0.27975144,0.0,0.0,0.0,0.27975144,0.09325048,0.18650096,0.0,0.37300192,0.09325048,0.09325048,0.27975144,0.27975144,0.09325048,0.09325048,0.18650096,0.09325048,0.18650096,0.18650096,0.18650096,0.09325048,0.09325048
0.0,0.07161149,0.14322297,0.0,0.0,0.0,0.14322297,0.28644595,0.28644595,0.21483446,0.21483446,0.0,0.0,0.0,0.0,0.07161149,0.07161149,0.21483446,0.07161149,0.14322297,0.50128041,0.42966892,0.0,0.07161149,0.28644595,0.07161149,0.14322297,0.14322297,0.14322297,0.07161149,0.14322297
0.13608276,0.13608276,0.13608276,0.06804138,0.13608276,0.0,0.13608276,0.0,0.27216553,0.0,0.20412415,0.27216553,0.13608276,0.06804138,0.0,0.13608276,0.06804138,0.27216553,0.20412415,0.13608276,0.47628967,0.47628967,0.0,0.06804138,0.06804138,0.06804138,0.13608276,0.13608276,0.13608276,0.06804138,0.06804138
0.0805823,0.16116459,0.16116459,0.0,0.16116459,0.0,0.0805823,0.0,0.0805823,0.0,0.0,0.16116459,0.32232919,0.0,0.0805823,0.0805823,0.0805823,0.24174689,0.0805823,0.16116459,0.56407607,0.48349378,0.0,0.0805823,0.0805823,0.0805823,0.16116459,0.16116459,0.16116459,0.0805823,0.0805823
0.0,0.08084521,0.16169042,0.0,0.0,0.08084521,0.08084521,0.40422604,0.0,0.0,0.0,0.0,0.16169042,0.0,0.16169042,0.16169042,0.08084521,0.24253563,0.08084521,0.16169042,0.32338083,0.48507125,0.08084521,0.08084521,0.40422604,0.08084521,0.16169042,0.16169042,0.16169042,0.08084521,0.08084521
0.0,0.18411492,0.18411492,0.0,0.18411492,0.09205746,0.0,0.0,0.0,0.0,0.0,0.0,0.46028731,0.0,0.0,0.0,0.0,0.27617239,0.09205746,0.18411492,0.27617239,0.27617239,0.36822985,0.36822985,0.18411492,0.09205746,0.09205746,0.18411492,0.18411492,0.09205746,0.09205746
0.22792115,0.11396058,0.11396058,0.0,0.11396058,0.0,0.0,0.0,0.11396058,0.0,0.0,0.0,0.0,0.22792115,0.22792115,0.22792115,0.0,0.45584231,0.11396058,0.11396058,0.34188173,0.34188173,0.11396058,0.11396058,0.22792115,0.11396058,0.22792115,0.22792115,0.22792115,0.11396058,0.11396058
0.07312724,0.14625448,0.07312724,0.0,0.0,0.07312724,0.14625448,0.07312724,0.36563621,0.0,0.0,0.0,0.29250897,0.07312724,0.07312724,0.07312724,0.07312724,0.21938173,0.07312724,0.14625448,0.5118907,0.5118907,0.07312724,0.07312724,0.07312724,0.07312724,0.14625448,0.14625448,0.14625448,0.07312724,0.07312724
0.0,0.09950372,0.09950372,0.0,0.0,0.09950372,0.0,0.0,0.09950372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09950372,0.29851116,0.09950372,0.19900744,0.39801488,0.69652603,0.0,0.09950372,0.09950372,0.09950372,0.19900744,0.19900744,0.19900744,0.09950372,0.09950372
0.0,0.11396058,0.0,0.0,0.11396058,0.22792115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11396058,0.11396058,0.11396058,0.34188173,0.11396058,0.22792115,0.11396058,0.68376346,0.0,0.11396058,0.11396058,0.11396058,0.22792115,0.22792115,0.22792115,0.11396058,0.11396058
0.0,0.15762208,0.15762208,0.0,0.15762208,0.0,0.15762208,0.63048832,0.0,0.15762208,0.0,0.15762208,0.0,0.0,0.07881104,0.07881104,0.07881104,0.31524416,0.07881104,0.15762208,0.23643312,0.15762208,0.07881104,0.15762208,0.31524416,0.07881104,0.15762208,0.15762208,0.15762208,0.07881104,0.07881104
0.0,0.07761505,0.15523011,0.0,0.0,0.07761505,0.15523011,0.38807526,0.46569032,0.15523011,0.0,0.0,0.0,0.0,0.0,0.0,0.07761505,0.31046021,0.07761505,0.15523011,0.23284516,0.31046021,0.23284516,0.15523011,0.31046021,0.07761505,0.15523011,0.15523011,0.15523011,0.07761505,0.07761505
0.0,0.11470787,0.11470787,0.0,0.0,0.0,0.0,0.0,0.3441236,0.0,0.0,0.0,0.0,0.0,0.11470787,0.11470787,0.11470787,0.3441236,0.11470787,0.11470787,0.3441236,0.3441236,0.45883147,0.11470787,0.11470787,0.11470787,0.22941573,0.22941573,0.22941573,0.11470787,0.11470787
0.27854301,0.18569534,0.0,0.09284767,0.18569534,0.0,0.18569534,0.09284767,0.18569534,0.18569534,0.46423835,0.18569534,0.0,0.09284767,0.18569534,0.18569534,0.09284767,0.37139068,0.09284767,0.09284767,0.27854301,0.09284767,0.09284767,0.09284767,0.09284767,0.09284767,0.18569534,0.18569534,0.18569534,0.09284767,0.09284767
0.0,0.17888544,0.08944272,0.0,0.17888544,0.08944272,0.08944272,0.08944272,0.08944272,0.0,0.0,0.0,0.17888544,0.0,0.17888544,0.17888544,0.08944272,0.26832816,0.08944272,0.17888544,0.35777088,0.62609903,0.0,0.08944272,0.17888544,0.08944272,0.17888544,0.17888544,0.17888544,0.08944272,0.08944272
0.17888544,0.17888544,0.17888544,0.0,0.17888544,0.0,0.08944272,0.0,0.17888544,0.0,0.08944272,0.26832816,0.0,0.08944272,0.08944272,0.08944272,0.0,0.35777088,0.08944272,0.17888544,0.53665631,0.35777088,0.08944272,0.08944272,0.08944272,0.08944272,0.17888544,0.17888544,0.17888544,0.08944272,0.08944272
0.0,0.153393,0.153393,0.0,0.0,0.0766965,0.153393,0.53687549,0.153393,0.153393,0.0,0.153393,0.0,0.0,0.0,0.0,0.0,0.2300895,0.0766965,0.0766965,0.46017899,0.306786,0.0766965,0.0766965,0.306786,0.0766965,0.153393,0.153393,0.153393,0.0766965,0.0766965
0.21997067,0.14664712,0.0,0.0,0.14664712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21997067,0.0,0.14664712,0.07332356,0.07332356,0.14664712,0.07332356,0.14664712,0.58658846,0.58658846,0.0,0.07332356,0.07332356,0.07332356,0.14664712,0.14664712,0.14664712,0.07332356,0.07332356
0.10425721,0.0,0.0,0.0,0.0,0.10425721,0.10425721,0.52128604,0.10425721,0.0,0.0,0.0,0.0,0.0,0.10425721,0.10425721,0.10425721,0.41702883,0.10425721,0.10425721,0.20851441,0.31277162,0.0,0.10425721,0.41702883,0.10425721,0.20851441,0.10425721,0.20851441,0.10425721,0.10425721
0.0,0.18898224,0.18898224,0.0,0.09449112,0.09449112,0.09449112,0.0,0.47245559,0.0,0.0,0.0,0.28347335,0.0,0.09449112,0.09449112,0.09449112,0.28347335,0.09449112,0.09449112,0.37796447,0.37796447,0.18898224,0.09449112,0.09449112,0.09449112,0.18898224,0.18898224,0.18898224,0.09449112,0.09449112
0.09365858,0.18731716,0.18731716,0.09365858,0.18731716,0.0,0.09365858,0.0,0.28097574,0.0,0.0,0.0,0.0,0.0,0.18731716,0.28097574,0.09365858,0.28097574,0.09365858,0.18731716,0.56195149,0.28097574,0.0,0.09365858,0.09365858,0.09365858,0.18731716,0.18731716,0.18731716,0.09365858,0.09365858
0.07881104,0.07881104,0.0,0.0,0.0,0.07881104,0.15762208,0.07881104,0.07881104,0.0,0.15762208,0.47286624,0.15762208,0.0,0.07881104,0.23643312,0.07881104,0.31524416,0.07881104,0.15762208,0.47286624,0.31524416,0.15762208,0.15762208,0.07881104,0.07881104,0.15762208,0.15762208,0.15762208,0.07881104,0.07881104
